# Combat values snapshot, regenerated 2026-09-01 from the live CDOs. The assets stay authoritative: the asset wins over this file, and this file wins over a number in prose.
# Regenerate with the editor open: "C:/Program Files (x86)/UE_5.8/Engine/Binaries/ThirdParty/Python3/Win64/python.exe" Tools/AnimPipeline/run-in-editor.py Tools/ValuesSnapshot/ue_values_snapshot.py
Object	Property	Value
GA_Attack	Branches[1].Hitboxes[0].HeightMaxCm	70
GA_Attack	Branches[1].Hitboxes[0].HeightMinCm	-70
GA_Attack	Branches[1].Hitboxes[0].MaxReachCm	150
GA_Attack	Branches[1].Hitboxes[0].MinReachCm	0
GA_Attack	Branches[1].HitstunSeconds	0.35
GA_Attack	Branches[1].HoldUntilSeconds	0.35
GA_Attack	Branches[1].KnockdownType	HARD: 2>
GA_Attack	Branches[1].LungeDistanceCm	300
GA_Attack	Branches[1].LungeDurationSeconds	0.12
GA_Attack	Branches[1].LungeStrengthCurve	None
GA_Attack	Branches[1].MontageSection	None
GA_Attack	Branches[1].ParryLockoutSeconds	0.65
GA_Attack	Branches[1].RecoverySeconds	0.5
GA_Attack	Branches[1].ReleaseAtSeconds	0.4
GA_Attack	Branches[1].ReleaseSeconds	0.15
GA_Attack	Branches[1].StaminaDamage	50
GA_Attack	Branches[1].bChainsIntoString	false
GA_Attack	Branches[2].AimAssistWedge.ArcCentreDegrees	0
GA_Attack	Branches[2].AimAssistWedge.ArcDegrees	40
GA_Attack	Branches[2].AimAssistWedge.HeightMaxCm	70
GA_Attack	Branches[2].AimAssistWedge.HeightMinCm	-70
GA_Attack	Branches[2].AimAssistWedge.bEnabled	true
GA_Attack	Branches[2].AttackTag	Ability.Attack.Charged
GA_Attack	Branches[2].BlockstunSeconds	0.6
GA_Attack	Branches[2].Damage	40
GA_Attack	Branches[2].Hitboxes[0].ArcCentreDegrees	0
GA_Attack	Branches[2].Hitboxes[0].ArcDegrees	60
GA_Attack	Branches[2].Hitboxes[0].HeightMaxCm	70
GA_Attack	Branches[2].Hitboxes[0].HeightMinCm	-70
GA_Attack	Branches[2].Hitboxes[0].MaxReachCm	150
GA_Attack	Branches[2].Hitboxes[0].MinReachCm	0
GA_Attack	Branches[2].HitstunSeconds	0.45
GA_Attack	Branches[2].HoldUntilSeconds	0.75
GA_Attack	Branches[2].KnockdownType	HARD: 2>
GA_Attack	Branches[2].LungeDistanceCm	400
GA_Attack	Branches[2].LungeDurationSeconds	0.12
GA_Attack	Branches[2].LungeStrengthCurve	None
GA_Attack	Branches[2].MontageSection	None
GA_Attack	Branches[2].ParryLockoutSeconds	0.75
GA_Attack	Branches[2].RecoverySeconds	0.6
GA_Attack	Branches[2].ReleaseAtSeconds	0.8
GA_Attack	Branches[2].ReleaseSeconds	0.15
GA_Attack	Branches[2].StaminaDamage	100
GA_Attack	Branches[2].bChainsIntoString	false
GA_Attack	ChainOpenAfterRecoverySeconds	0.133
GA_Attack	CoilEndSeconds	0.28
GA_Attack	CommittedTag	State.Attacking.Committed
GA_Attack	Damage	15
GA_Attack	DamageEffectClass	/Game/TheDream/Combat/Effects/GE_Damage_Melee.GE_Damage_Melee_C
GA_Attack	EffectOnEnd	None
GA_Attack	EffectOnStart	None
GA_Attack	HitSpacingCm	350
GA_Attack	HitstunSeconds	0
GA_Attack	InputTag	InputTag.Attack
GA_Attack	KnockbackBlockedDurationSeconds	0.2
GA_Attack	KnockbackDurationSeconds	0.45
GA_Attack	KnockbackTimeMappingCurve	/Game/TheDream/Combat/Data/C_KnockbackPacing.C_KnockbackPacing
GA_Attack	LungeDistanceCm	100
GA_Attack	LungeDurationSeconds	0.15
GA_Attack	LungeStandoffCm	40
GA_Attack	LungeStrengthCurve	None
GA_Attack	ParryRecoilCm	93
GA_Attack	ReleaseStartSeconds	0.3
GA_Attack	StaminaDamage	5
GA_Attack	StringLinkWindowSeconds	0.4
GA_Attack	StringSwings[0].BlockstunSeconds	0.35
GA_Attack	StringSwings[0].CoilEndSeconds	0.6488
GA_Attack	StringSwings[0].Damage	15
GA_Attack	StringSwings[0].HitstunSeconds	0.55
GA_Attack	StringSwings[0].KnockdownType	NONE: 0>
GA_Attack	StringSwings[0].LungeDistanceCm	0
GA_Attack	StringSwings[0].LungeDurationSeconds	0
GA_Attack	StringSwings[0].Montage	/Game/TheDream/Combat/Animations/AM_Attack_S2.AM_Attack_S2
GA_Attack	StringSwings[0].ParryLockoutSeconds	0.75
GA_Attack	StringSwings[0].RecoverySeconds	0.6
GA_Attack	StringSwings[0].ReleaseSeconds	0
GA_Attack	StringSwings[0].ReleaseStartSeconds	0.6688
GA_Attack	StringSwings[0].StaminaDamage	5
GA_Attack	StringSwings[1].BlockstunSeconds	0.35
GA_Attack	StringSwings[1].CoilEndSeconds	0.4606
GA_Attack	StringSwings[1].Damage	15
GA_Attack	StringSwings[1].Hitboxes[0].ArcCentreDegrees	0
GA_Attack	StringSwings[1].Hitboxes[0].ArcDegrees	360
GA_Attack	StringSwings[1].Hitboxes[0].HeightMaxCm	70
GA_Attack	StringSwings[1].Hitboxes[0].HeightMinCm	-70
GA_Attack	StringSwings[1].Hitboxes[0].MaxReachCm	150
GA_Attack	StringSwings[1].Hitboxes[0].MinReachCm	0
GA_Attack	StringSwings[1].HitstunSeconds	0.55
GA_Attack	StringSwings[1].KnockdownType	NORMAL: 1>
GA_Attack	StringSwings[1].LungeDistanceCm	260
GA_Attack	StringSwings[1].LungeDurationSeconds	0.156
GA_Attack	StringSwings[1].Montage	/Game/TheDream/Combat/Animations/AM_Attack_S3.AM_Attack_S3
GA_Attack	StringSwings[1].ParryLockoutSeconds	0.9725
GA_Attack	StringSwings[1].RecoverySeconds	0.75
GA_Attack	StringSwings[1].ReleaseSeconds	0.2225
GA_Attack	StringSwings[1].ReleaseStartSeconds	0.4806
GA_Attack	StringSwings[1].StaminaDamage	5
GA_Attack	TargetImmunityTags	State.Dodging
GA_Attack	WindupSection	None
GA_Attack	bAllowedFromKnockdown	false
GA_Attack	bBlockedWhileAirborne	true
GA_Attack	bBlockedWhileMovementLocked	false
GA_Attack	bDrawDebugTrace	true
GA_Attack	bKnockbackCurveOnBlocked	false
GA_Attack	bLocksMovement	true
GA_Attack	bResumeWhileInputHeld	false
GA_Block	EffectOnEnd	None
GA_Block	EffectOnStart	None
GA_Block	InputTag	InputTag.Block
GA_Block	bAllowedFromKnockdown	true
GA_Block	bBlockedWhileAirborne	true
GA_Block	bBlockedWhileMovementLocked	false
GA_Block	bEndOnInputRelease	true
GA_Block	bLocksMovement	false
GA_Block	bResumeWhileInputHeld	true
GA_Dodge	DodgeClipSeconds	0.667
GA_Dodge	DodgeDirection	BW: 4>
GA_Dodge	DodgeMontage	/Game/TheDream/Combat/Animations/AM_Dodge.AM_Dodge
GA_Dodge	DodgeRecoverySeconds	0
GA_Dodge	DodgeSeconds	0.4
GA_Dodge	DodgeTargetDistanceCm	405
GA_Dodge	EffectOnEnd	None
GA_Dodge	EffectOnStart	/Game/TheDream/Combat/Effects/GE_StaminaCost_Dodge.GE_StaminaCost_Dodge_C
GA_Dodge	IFrameTag	State.Dodging
GA_Dodge	InputTag	InputTag.Dodge
GA_Dodge	KipUpMontage	/Game/TheDream/Combat/Animations/AM_KipUp.AM_KipUp
GA_Dodge	KnockdownRollMontage	/Game/TheDream/Combat/Animations/AM_KnockdownRoll.AM_KnockdownRoll
GA_Dodge	KnockdownRollSeconds	0.6
GA_Dodge	RollTurnRateDegrees	1200
GA_Dodge	bAllowedFromKnockdown	true
GA_Dodge	bBlockedWhileAirborne	true
GA_Dodge	bBlockedWhileMovementLocked	false
GA_Dodge	bLocksMovement	true
GA_Dodge	bResumeWhileInputHeld	false
GA_GetUpAttack	AimAssistMarginCm	200
GA_GetUpAttack	AttackMontage	/Game/TheDream/Combat/Animations/AM_GetUpAttack.AM_GetUpAttack
GA_GetUpAttack	BlockedSpacingCm	100
GA_GetUpAttack	BlockstunSeconds	0.65
GA_GetUpAttack	Damage	10
GA_GetUpAttack	DamageEffectClass	/Game/TheDream/Combat/Effects/GE_Damage_Melee.GE_Damage_Melee_C
GA_GetUpAttack	EffectOnEnd	None
GA_GetUpAttack	EffectOnStart	None
GA_GetUpAttack	HitSpacingCm	250
GA_GetUpAttack	HitstunSeconds	1
GA_GetUpAttack	InputTag	InputTag.Attack
GA_GetUpAttack	KnockbackBlockedDurationSeconds	0.2
GA_GetUpAttack	KnockbackDurationSeconds	0.45
GA_GetUpAttack	KnockbackTimeMappingCurve	None
GA_GetUpAttack	LungeDistanceCm	0
GA_GetUpAttack	LungeDurationSeconds	0.15
GA_GetUpAttack	LungeStandoffCm	40
GA_GetUpAttack	LungeStrengthCurve	None
GA_GetUpAttack	ParryRecoilCm	93
GA_GetUpAttack	ReleaseStartSeconds	0.6333
GA_GetUpAttack	StaminaDamage	10
GA_GetUpAttack	TargetImmunityTags	State.Dodging
GA_GetUpAttack	bAllowedFromKnockdown	true
GA_GetUpAttack	bBlockedWhileAirborne	false
GA_GetUpAttack	bBlockedWhileMovementLocked	false
GA_GetUpAttack	bDrawDebugTrace	true
GA_GetUpAttack	bKnockbackCurveOnBlocked	false
GA_GetUpAttack	bLocksMovement	true
GA_GetUpAttack	bResumeWhileInputHeld	false
GA_Jump	EffectOnEnd	None
GA_Jump	EffectOnStart	None
GA_Jump	InputTag	InputTag.Jump
GA_Jump	bAllowedFromKnockdown	true
GA_Jump	bBlockedWhileAirborne	true
GA_Jump	bBlockedWhileMovementLocked	true
GA_Jump	bLocksMovement	false
GA_Jump	bResumeWhileInputHeld	false
GA_Parry	EffectOnEnd	None
GA_Parry	EffectOnStart	None
GA_Parry	InputTag	InputTag.Parry
GA_Parry	ParryMontage	/Game/TheDream/Combat/Animations/AM_Parry.AM_Parry
GA_Parry	ParryWhiffRecoverySeconds	0.6
GA_Parry	ParryWindowSeconds	0.3
GA_Parry	bAllowedFromKnockdown	false
GA_Parry	bBlockedWhileAirborne	true
GA_Parry	bBlockedWhileMovementLocked	false
GA_Parry	bLocksMovement	true
GA_Parry	bResumeWhileInputHeld	false
UTDAttributeSet	Health	<Struct 'GameplayAttributeData' {base_value: 100.000000, current_value: 100.000000}>
UTDAttributeSet	MaxHealth	<Struct 'GameplayAttributeData' {base_value: 100.000000, current_value: 100.000000}>
UTDAttributeSet	MaxStamina	<Struct 'GameplayAttributeData' {base_value: 100.000000, current_value: 100.000000}>
UTDAttributeSet	Stamina	<Struct 'GameplayAttributeData' {base_value: 100.000000, current_value: 100.000000}>
